title|ser|actors|genre|cert|year|mins|format|set|score
Bones|1|Emily Deschanel, David Boreanaz, Michaela Conlin, T.J. Thyne|Comedy, Crime, Drama, Mystery, Romance|TV-14|2005–2017|40 min|DVD|Yes|7.9
Boston Legal|1|James Spader, William Shatner, Candice Bergen, Rene Auberjonois|Comedy, Crime, Drama|TV-14|2004–2008|44 min|DVD|Yes|8.4
Boston Legal|2|James Spader, William Shatner, Candice Bergen, Rene Auberjonois|Comedy, Crime, Drama|TV-14|2004–2008|44 min|DVD|Yes|8.4
Boston Legal|3|James Spader, William Shatner, Candice Bergen, Rene Auberjonois|Comedy, Crime, Drama|TV-14|2004–2008|44 min|DVD|Yes|8.4
Boston Legal|4|James Spader, William Shatner, Candice Bergen, Rene Auberjonois|Comedy, Crime, Drama|TV-14|2004–2008|44 min|DVD|Yes|8.4
Boston Legal|5|James Spader, William Shatner, Candice Bergen, Rene Auberjonois|Comedy, Crime, Drama|TV-14|2004–2008|44 min|DVD|Yes|8.4
Bounty, The|&nbsp;|Mel Gibson, Anthony Hopkins, Laurence Olivier, Edward Fox|Action, Adventure, Drama, History, Romance|PG|1984|132 min|DVD|No|7.1
Bourne Identity, The|&nbsp;|Matt Damon, Franka Potente, Chris Cooper, Clive Owen|Action, Mystery, Thriller|PG-13|2002|119 min|DVD|No|7.9
Bourne Supremacy, The|&nbsp;|Matt Damon, Franka Potente, Brian Cox, Julia Stiles|Action, Mystery, Thriller|PG-13|2004|108 min|DVD|No|7.8
Bourne Ultimatum, The|&nbsp;|Matt Damon, Julia Stiles, David Strathairn, Scott Glenn|Action, Mystery, Thriller|PG-13|2007|115 min|DVD|No|8.0
Boy in the Striped Pajamas, The|&nbsp;|Asa Butterfield, Zac Mattoon O'Brien, Domonkos Németh, Henry Kingsmill|Drama, War|PG-13|2008|94 min|DVD|No|7.8
Bram Stoker's Dracula|&nbsp;|Gary Oldman, Winona Ryder, Anthony Hopkins, Keanu Reeves|Horror|R|1992|128 min|DVD|No|7.5
Brazil||Jonathan Pryce, Robert De Niro, Katherine Helmond, Ian Holm|Drama, Sci-Fi|R|1985|132 min|DVD|No|8.0
Breaking Bad|1|Bryan Cranston, Anna Gunn, Aaron Paul, Dean Norris|Crime, Drama, Thriller|TV-MA|2008–2013|49 min|DVD|Yes|9.5
Breaking Bad|2|Bryan Cranston, Anna Gunn, Aaron Paul, Dean Norris|Crime, Drama, Thriller|TV-MA|2008–2013|49 min|DVD|Yes|9.5
Breaking Bad|3|Bryan Cranston, Anna Gunn, Aaron Paul, Dean Norris|Crime, Drama, Thriller|TV-MA|2008–2013|49 min|DVD|Yes|9.5
Breaking Bad|4|Bryan Cranston, Anna Gunn, Aaron Paul, Dean Norris|Crime, Drama, Thriller|TV-MA|2008–2013|49 min|DVD|No|9.5
Breaking Bad|5|Bryan Cranston, Anna Gunn, Aaron Paul, Dean Norris|Crime, Drama, Thriller|TV-MA|2008–2013|49 min|DVD|Yes|9.5
Bucket List, The|&nbsp;|Jack Nicholson, Morgan Freeman, Sean Hayes, Beverly Todd|Adventure, Comedy, Drama|PG-13|2007|97 min|DVD|No|7.4
Cape Fear|&nbsp;|Gregory Peck, Robert Mitchum, Polly Bergen, Lori Martin|Drama, Thriller|NOT RATED|1962|106 min|DVD|Yes|7.8
Cape Fear|&nbsp;|Robert De Niro, Nick Nolte, Jessica Lange, Juliette Lewis|Crime, Thriller|R|1991|128 min|DVD|Yes|7.3
Captain Phillips|&nbsp;|Tom Hanks, Catherine Keener, Barkhad Abdi, Barkhad Abdirahman|Biography, Drama, Thriller|PG-13|2013|134 min|DVD|No|7.8
Captain Pugwash|1|Peter Hawkins|Animation, Family|N/A|1957–1966|5 min|DVD|No|6.7
Casino|&nbsp;|Robert De Niro, Sharon Stone, Joe Pesci, James Woods|Crime, Drama|R|1995|178 min|DVD|No|8.2
Casino Royale|&nbsp;|Daniel Craig, Eva Green, Mads Mikkelsen, Judi Dench|Action, Adventure, Thriller|PG-13|2006|144 min|Bluray|No|8.0
Charlie and the Chocolate Factory|&nbsp;|Johnny Depp, Freddie Highmore, David Kelly, Helena Bonham Carter|Adventure, Comedy, Family, Fantasy, Musical|PG|2005|115 min|DVD|No|6.7
Chicago|&nbsp;|Taye Diggs, Cliff Saunders, Catherine Zeta-Jones, Renée Zellweger|Comedy, Crime, Musical|PG-13|2002|113 min|DVD|No|7.2
Chocolat|&nbsp;|Alfred Molina, Carrie-Anne Moss, Aurelien Parent Koenig, Antonio Gil|Drama, Romance|PG-13|2000|121 min|DVD|No|7.3
Chronicles of Riddick, The|&nbsp;|Vin Diesel, Colm Feore, Thandie Newton, Judi Dench|Action, Adventure, Sci-Fi, Thriller|PG-13|2004|119 min|DVD|No|6.7
Chronicles of Riddick: Dark Fury|&nbsp;|Vin Diesel, Rhiana Griffith, Keith David, Roger Jackson|Action, Animation, Sci-Fi, Short|NOT RATED|2004|35 min|DVD|No|6.6
Cinderella Man|&nbsp;|Russell Crowe, Renée Zellweger, Paul Giamatti, Craig Bierko|Biography, Drama, Sport|PG-13|2005|144 min|DVD|No|8.0
Clash of the Titans||Sam Worthington, Liam Neeson, Ralph Fiennes, Jason Flemyng|Action, Adventure, Fantasy|PG-13|2010|106 min|DVD|No|5.8
Cloud Atlas|&nbsp;|Tom Hanks, Halle Berry, Jim Broadbent, Hugo Weaving|Action, Drama, Mystery, Sci-Fi|R|2012|172 min|DVD|No|7.5
Cold Mountain|&nbsp;|Jude Law, Nicole Kidman, Renée Zellweger, Eileen Atkins|Adventure, Drama, History, Romance, War|R|2003|154 min|DVD|No|7.2
Coldplay: Live 2003|&nbsp;|Coldplay, Guy Berryman, Jon Buckland, Will Champion|Documentary, Music|N/A|2003|130 min|DVD|No|8.4
Colombiana||Zoe Saldana, Jordi Mollà, Lennie James, Amandla Stenberg|Action, Drama, Thriller|PG-13|2011|108 min|DVD|No|6.4
Commitments, The|&nbsp;|Robert Arkins, Michael Aherne, Angeline Ball, Maria Doyle Kennedy|Comedy, Drama, Music|R|1991|118 min|DVD|No|7.6
Conan the Destroyer|&nbsp;|Arnold Schwarzenegger, Grace Jones, Wilt Chamberlain, Mako|Action, Adventure, Fantasy|PG|1984|103 min|DVD|No|5.9
Confessions of a Shopaholic|&nbsp;|Isla Fisher, Hugh Dancy, Krysten Ritter, Joan Cusack|Comedy, Family, Romance|PG|2009|104 min|DVD|No|5.9
Constantine|&nbsp;|Keanu Reeves, Rachel Weisz, Shia LaBeouf, Djimon Hounsou|Action, Fantasy, Horror, Mystery|R|2005|121 min|DVD|No|7.0
Contagion|&nbsp;|Gwyneth Paltrow, Tien You Chui, Josie Ho, Daria Strokous|Drama, Thriller|PG-13|2011|106 min|DVD|No|6.6
Coogan's Bluff|&nbsp;|Clint Eastwood, Lee J. Cobb, Susan Clark, Tisha Sterling|Action, Comedy, Crime|R|1968|93 min|DVD|No|6.5
Corpse Bride|&nbsp;|Johnny Depp, Helena Bonham Carter, Emily Watson, Tracey Ullman|Animation, Drama, Family, Fantasy, Musical, Romance|PG|2005|77 min|DVD|No|7.4
Coyote Ugly|&nbsp;|Piper Perabo, Adam Garcia, John Goodman, Maria Bello|Comedy, Drama, Music, Romance|PG-13|2000|100 min|DVD|No|5.6
Crouching Tiger, Hidden Dragon|&nbsp;|Yun-Fat Chow, Michelle Yeoh, Ziyi Zhang, Chen Chang|Action, Adventure, Fantasy, Romance|PG-13|2000|120 min|DVD|No|7.9
