title|ser|actors|genre|cert|year|mins|format|set|score
Million Dollar Baby|&nbsp;|Clint Eastwood, Hilary Swank, Morgan Freeman, Jay Baruchel|Drama, Sport|PG-13|2004|132 min|DVD|No|8.1
Minority Report|&nbsp;|Tom Cruise, Max von Sydow, Steve Harris, Neal McDonough|Action, Crime, Mystery, Sci-Fi, Thriller|PG-13|2002|145 min|DVD|No|7.7
Miranda|1|Miranda Hart, Patricia Hodge, Tom Ellis, Sarah Hadland|Comedy|N/A|2009–2015|30 min|DVD|Yes|8.1
Miranda|2|Miranda Hart, Patricia Hodge, Tom Ellis, Sarah Hadland|Comedy|N/A|2009–2015|30 min|DVD|Yes|8.1
Mission: Impossible|&nbsp;|Tom Cruise, Jon Voight, Emmanuelle Béart, Henry Czerny|Action, Adventure, Thriller|PG-13|1996|110 min|DVD|No|7.1
Mission: Impossible II|&nbsp;|Tom Cruise, Dougray Scott, Thandie Newton, Ving Rhames|Action, Adventure, Thriller|PG-13|2000|123 min|DVD|No|6.1
Monty Python and the Holy Grail|&nbsp;|Graham Chapman, John Cleese, Eric Idle, Terry Gilliam|Adventure, Comedy, Fantasy|PG|1975|91 min|DVD|Yes|8.3
Morgan||Kate Mara, Anya Taylor-Joy, Rose Leslie, Michael Yare|Action, Horror, Sci-Fi, Thriller|R|2016|92 min|DVD|No|5.8
Mortal Engines||Hera Hilmar, Robert Sheehan, Hugo Weaving, Jihae|Action, Adventure, Fantasy, Sci-Fi, Thriller|PG-13|2018|128 min|4K HDR|No|6.1
Mothman Prophecies, The||Richard Gere, David Eigenberg, Bob Tracey, Ron Emanuel|Drama, Horror, Mystery, Thriller|PG-13|2002|119 min|DVD|No|6.5
Mötley Crüe: Carnival of Sins|&nbsp;|Todd A. Fox, Tommy Lee, Mick Mars, Mighty Mike Murga|Documentary, Music|R|2005|210 min|DVD|No|8.2
Mr Benn|1|Ray Brooks|Animation, Family|N/A|1971–2005|15 min|DVD|No|7.7
My Little Eye|&nbsp;|Sean Cw Johnson, Kris Lemche, Stephen O'Reilly, Laura Regan|Horror, Mystery, Thriller|R|2002|95 min|DVD|No|5.6
Mystic River|&nbsp;|Sean Penn, Tim Robbins, Kevin Bacon, Laurence Fishburne|Crime, Drama, Mystery, Thriller|R|2003|138 min|Bluray|Yes|8.0
Napoleon Dynamite|&nbsp;|Jon Heder, Jon Gries, Aaron Ruell, Efren Ramirez|Comedy|PG|2004|96 min|DVD|No|6.9
National Treasure|&nbsp;|Nicolas Cage, Diane Kruger, Justin Bartha, Sean Bean|Action, Adventure, Family, Mystery, Thriller|PG|2004|131 min|DVD|No|6.9
National Treasure: Book of Secrets|&nbsp;|Nicolas Cage, Justin Bartha, Diane Kruger, Jon Voight|Action, Adventure, Family, Mystery, Thriller|PG|2007|124 min|DVD|No|6.5
Nick of Time|&nbsp;|Johnny Depp, Courtney Chase, Charles S. Dutton, Christopher Walken|Action, Crime, Drama, Thriller|R|1995|90 min|DVD|No|6.3
Nightmare Before Christmas, The|&nbsp;|Danny Elfman, Chris Sarandon, Catherine O'Hara, William Hickey|Animation, Family, Fantasy, Musical|PG|1993|76 min|DVD|No|8.0
Ninth Gate, The|&nbsp;|Johnny Depp, Frank Langella, Lena Olin, Emmanuelle Seigner|Mystery, Thriller|R|1999|133 min|DVD|No|6.7
No Country for Old Men|&nbsp;|Tommy Lee Jones, Javier Bardem, Josh Brolin, Woody Harrelson|Crime, Drama, Thriller|R|2007|122 min|DVD|No|8.1
Ocean's Eleven|&nbsp;|George Clooney, Cecelia Ann Birt, Paul L. Nolan, Carol Florence|Crime, Thriller|PG-13|2001|116 min|DVD|No|7.8
Omen IV: The Awakening|&nbsp;|Faye Grant, Michael Woods, Michael Lerner, Madison Mason|Horror, Mystery, Thriller|UNRATED|1991|97 min|DVD|Yes|3.9
Omen, The|&nbsp;|Gregory Peck, Lee Remick, David Warner, Billie Whitelaw|Horror|R|1976|111 min|DVD|Yes|7.6
Omen, The|&nbsp;|Predrag Bjelac, Carlo Sabatini, Bohumil Svarc, Liev Schreiber|Horror|R|2006|110 min|DVD|Yes|5.5
On Her Majesty's Secret Service|&nbsp;|George Lazenby, Diana Rigg, Telly Savalas, Gabriele Ferzetti|Action, Adventure, Thriller|PG|1969|142 min|DVD|No|6.8
Once Upon a Time in Mexico|&nbsp;|Antonio Banderas, Salma Hayek, Johnny Depp, Mickey Rourke|Action, Thriller|R|2003|102 min|DVD|No|6.4
Our Hospitality|&nbsp;|Buster Keaton, Natalie Talmadge, Joe Roberts, Francis X. Bushman Jr.|Comedy, Romance, Thriller|NOT RATED|1923|65 min|DVD|Yes|7.9
Out for Justice|&nbsp;|Steven Seagal, William Forsythe, Jerry Orbach, Jo Champa|Action, Crime, Drama, Thriller|R|1991|91 min|DVD|Yes|6.1
Outlander|&nbsp;|Jim Caviezel, Sophia Myles, Jack Huston, John Hurt|Action, Adventure, Sci-Fi|R|2008|115 min|DVD|No|6.3
Outlaw Josey Wales, The|&nbsp;|Clint Eastwood, Chief Dan George, Sondra Locke, Bill McKinney|Western|PG|1976|135 min|Bluray|Yes|7.9
Pacific Rim||Charlie Hunnam, Diego Klattenhoff, Idris Elba, Rinko Kikuchi|Action, Adventure, Sci-Fi|PG-13|2013|131 min|Bluray|No|6.9
Pale Rider|&nbsp;|Clint Eastwood, Michael Moriarty, Carrie Snodgress, Chris Penn|Western|R|1985|115 min|Bluray|Yes|7.3
Pale Rider|&nbsp;|Clint Eastwood, Michael Moriarty, Carrie Snodgress, Chris Penn|Western|R|1985|115 min|DVD|No|7.3
Papillon|&nbsp;|Steve McQueen, Dustin Hoffman, Victor Jory, Don Gordon|Biography, Crime, Drama|R|1973|151 min|DVD|No|8.0
Patch Adams|&nbsp;|Robin Williams, Daniel London, Monica Potter, Philip Seymour Hoffman|Biography, Comedy, Drama, Romance|PG-13|1998|115 min|DVD|No|6.7
Patriot, The|&nbsp;|Mel Gibson, Heath Ledger, Joely Richardson, Jason Isaacs|Action, Drama, History, War|R|2000|165 min|DVD|No|7.2
Payback|&nbsp;|Mel Gibson, Gregg Henry, Maria Bello, David Paymer|Action, Crime, Drama, Thriller|R|1999|100 min|DVD|No|7.1
Pearl Harbor|&nbsp;|Ben Affleck, Josh Hartnett, Kate Beckinsale, William Lee Scott|Action, Drama, History, Romance, War|PG-13|2001|183 min|DVD|No|6.1
Phantom of the Opera, The|&nbsp;|Gerard Butler, Emmy Rossum, Patrick Wilson, Miranda Richardson|Drama, Musical, Romance, Thriller|PG-13|2004|143 min|DVD|No|7.3
Phone Booth|&nbsp;|Colin Farrell, Kiefer Sutherland, Forest Whitaker, Radha Mitchell|Crime, Thriller|R|2002|81 min|DVD|No|7.1
Pianist, The|&nbsp;|Adrien Brody, Emilia Fox, Michal Zebrowski, Ed Stoppard|Biography, Drama, Music, War|R|2002|150 min|DVD|No|8.5
Pink Floyd: Live at Pompeii||David Gilmour, Nick Mason, Roger Waters, Richard Wright|Documentary, Music|G|1972|92 min|DVD|No|8.7
Pink Panther Strikes Again, The|&nbsp;|Peter Sellers, Herbert Lom, Lesley-Anne Down, Burt Kwouk|Comedy, Crime|PG|1976|103 min|DVD|Yes|7.3
Pink Panther, The|&nbsp;|David Niven, Peter Sellers, Robert Wagner, Capucine|Comedy, Crime, Romance|NOT RATED|1963|115 min|DVD|Yes|7.2
Pirates of the Caribbean: At World's End|&nbsp;|Johnny Depp, Geoffrey Rush, Orlando Bloom, Keira Knightley|Action, Adventure, Fantasy|PG-13|2007|169 min|DVD|Yes|7.1
Pirates of the Caribbean: Dead Man's Chest|&nbsp;|Johnny Depp, Orlando Bloom, Keira Knightley, Jack Davenport|Action, Adventure, Fantasy|PG-13|2006|151 min|DVD|Yes|7.3
Pirates of the Caribbean: The Curse of the Black Pearl|&nbsp;|Johnny Depp, Geoffrey Rush, Orlando Bloom, Keira Knightley|Action, Adventure, Fantasy|PG-13|2003|143 min|DVD|Yes|8.0
Pitch Black|&nbsp;|Vin Diesel, Radha Mitchell, Cole Hauser, Keith David|Horror, Sci-Fi|R|2000|109 min|DVD|No|7.1
Platoon|&nbsp;|Tom Berenger, Keith David, Willem Dafoe, Forest Whitaker|Drama, War|R|1986|120 min|DVD|No|8.1
Plunkett & Macleane|&nbsp;|Jonny Lee Miller, Iain Robertson, Robert Carlyle, Ken Stott|Action, Adventure, Crime, Drama|R|1999|99 min|DVD|No|6.4
Point Break||Patrick Swayze, Keanu Reeves, Gary Busey, Lori Petty|Action, Crime, Thriller|R|1991|122 min|DVD|No|7.2
Postman, The|&nbsp;|Kevin Costner, Will Patton, Larenz Tate, Olivia Williams|Action, Adventure, Drama, Sci-Fi|R|1997|177 min|DVD|No|6.0
Predator|&nbsp;|Arnold Schwarzenegger, Carl Weathers, Elpidia Carrillo, Bill Duke|Action, Adventure, Sci-Fi, Thriller|R|1987|107 min|DVD|Yes|7.8
Predator 2|&nbsp;|Kevin Peter Hall, Danny Glover, Gary Busey, Rubén Blades|Action, Horror, Sci-Fi|R|1990|108 min|DVD|Yes|6.3
Prestige, The|&nbsp;|Hugh Jackman, Christian Bale, Michael Caine, Piper Perabo|Drama, Mystery, Sci-Fi, Thriller|PG-13|2006|130 min|DVD|No|8.5
Priest||Paul Bettany, Karl Urban, Cam Gigandet, Maggie Q|Action, Adventure, Fantasy, Horror, Sci-Fi, Thriller|PG-13|2011|87 min|Bluray 3D|No|5.7
Prime Suspect|1|Helen Mirren, Tom Bell, John Benfield, Jack Ellis|Crime, Drama, Mystery, Thriller|N/A|1991|207 min|DVD|Yes|8.3
Prime Suspect|2|Helen Mirren, Tom Bell, John Benfield, Jack Ellis|Crime, Drama, Mystery, Thriller|N/A|1991|207 min|DVD|Yes|8.3
Prime Suspect|3|Helen Mirren, Tom Bell, John Benfield, Jack Ellis|Crime, Drama, Mystery, Thriller|N/A|1991|207 min|DVD|Yes|8.3
Prime Suspect|4|Helen Mirren, Tom Bell, John Benfield, Jack Ellis|Crime, Drama, Mystery, Thriller|N/A|1991|207 min|DVD|Yes|8.3
Prime Suspect|5|Helen Mirren, Tom Bell, John Benfield, Jack Ellis|Crime, Drama, Mystery, Thriller|N/A|1991|207 min|DVD|Yes|8.3
Prime Suspect 6: The Last Witness|1|Helen Mirren, Liam Cunningham, Oleg Menshikov, Ben Miles|Crime, Drama, Thriller|N/A|2003|195 min|DVD|Yes|8.2
Prime Suspect 7: The Final Act|1|Helen Mirren, Stephen Tompkinson, Laura Greenwood, Eve Best|Crime, Drama, Mystery|N/A|2006|182 min|DVD|Yes|8.4
Prometheus|&nbsp;|Noomi Rapace, Michael Fassbender, Charlize Theron, Idris Elba|Adventure, Mystery, Sci-Fi|R|2012|124 min|DVD|No|7.0
Public Enemies|&nbsp;|Christian Bale, Christian Stolte, Jason Clarke, Johnny Depp|Biography, Crime, Drama, History, Romance|R|2009|140 min|Bluray|No|7.0
Purple Rain|&nbsp;|Prince, Apollonia Kotero, Morris Day, Olga Karlatos|Drama, Music, Musical, Romance|R|1984|111 min|DVD|No|6.5
Pursuit of Happyness, The|&nbsp;|Will Smith, Jaden Smith, Thandie Newton, Brian Howe|Biography, Drama|PG-13|2006|117 min|DVD|No|8.0
Quantum of Solace|&nbsp;|Daniel Craig, Olga Kurylenko, Mathieu Amalric, Judi Dench|Action, Adventure, Thriller|PG-13|2008|106 min|Bluray|No|6.6
Queen Rock Montreal & Live Aid||John Deacon, Brian May, Freddie Mercury, Queen|Music|N/A|2007|138 min|DVD|No|8.6
Raging Bull|&nbsp;|Robert De Niro, Cathy Moriarty, Joe Pesci, Frank Vincent|Biography, Drama, Sport|R|1980|129 min|DVD|No|8.2
Raiders of the Lost Ark|&nbsp;|Harrison Ford, Karen Allen, Paul Freeman, Ronald Lacey|Action, Adventure|PG|1981|115 min|DVD|Yes|8.5
Rain Man|&nbsp;|Dustin Hoffman, Tom Cruise, Valeria Golino, Gerald R. Molen|Drama|R|1988|133 min|DVD|No|8.0
Red Dragon|&nbsp;|Anthony Hopkins, Edward Norton, Ralph Fiennes, Harvey Keitel|Crime, Drama, Thriller|R|2002|124 min|DVD|No|7.2
Reign of Fire|&nbsp;|Christian Bale, Matthew McConaughey, Izabella Scorupco, Gerard Butler|Action, Adventure, Fantasy, Sci-Fi, Thriller|PG-13|2002|101 min|DVD|No|6.2
Reservoir Dogs|&nbsp;|Harvey Keitel, Tim Roth, Michael Madsen, Chris Penn|Crime, Drama, Thriller|R|1992|99 min|DVD|No|8.3
Riddick|&nbsp;|Vin Diesel, Jordi Mollà, Matt Nable, Katee Sackhoff|Action, Sci-Fi, Thriller|R|2013|119 min|DVD|No|6.4
Robin and Marian|&nbsp;|Sean Connery, Audrey Hepburn, Robert Shaw, Richard Harris|Adventure, Drama, Romance|PG|1976|106 min|DVD|No|6.6
Robin Hood|&nbsp;|Russell Crowe, Cate Blanchett, Max von Sydow, William Hurt|Action, Adventure, Drama, History, Romance|PG-13|2010|140 min|DVD|No|6.7
Rock of Ages||Julianne Hough, Dakota Sage Grant, Matthew Rush Sullivan, Diego Boneta|Comedy, Drama, Musical, Romance|PG-13|2012|123 min|Bluray|No|5.9
Roger Hodgson: Take the Long Way Home|&nbsp;|N/A|N/A|N/A|2006|59 min|DVD|No|N/A
Romeo + Juliet||Leonardo DiCaprio, Claire Danes, John Leguizamo, Harold Perrineau|Drama, Romance|PG-13|1996|120 min|DVD|No|6.8
Romy and Michele's High School Reunion|&nbsp;|Mira Sorvino, Lisa Kudrow, Janeane Garofalo, Alan Cumming|Comedy|R|1997|92 min|DVD|No|6.2
Rush|&nbsp;|Chris Hemsworth, Daniel Brühl, Olivia Wilde, Alexandra Maria Lara|Action, Biography, Drama, Sport|R|2013|123 min|DVD|No|8.1
Safe House|&nbsp;|Denzel Washington, Ryan Reynolds, Vera Farmiga, Brendan Gleeson|Action, Adventure, Crime, Thriller|R|2012|115 min|DVD|No|6.8
Santa Claus: The Movie|&nbsp;|Dudley Moore, John Lithgow, David Huddleston, Burgess Meredith|Adventure, Family, Fantasy|PG|1985|107 min|DVD|No|6.1
Save the Last Dance|&nbsp;|Julia Stiles, Sean Patrick Thomas, Kerry Washington, Fredro Starr|Drama, Music, Romance|PG-13|2001|112 min|DVD|No|6.2
Schindler's List|&nbsp;|Liam Neeson, Ben Kingsley, Ralph Fiennes, Caroline Goodall|Biography, Drama, History|R|1993|195 min|DVD|No|8.9
Se7en|&nbsp;|Morgan Freeman, Andrew Kevin Walker, Daniel Zacapa, Brad Pitt|Crime, Drama, Mystery, Thriller|R|1995|127 min|DVD|No|8.6
Secret Window|&nbsp;|Johnny Depp, John Turturro, Maria Bello, Timothy Hutton|Drama, Mystery, Thriller|PG-13|2004|96 min|DVD|No|6.6
Senna||Ayrton Senna, Alain Prost, Frank Williams, Ron Dennis|Documentary, Biography, Sport|PG-13|2010|106 min|Bluray|No|8.6
Serenity|&nbsp;|Nathan Fillion, Gina Torres, Alan Tudyk, Morena Baccarin|Action, Adventure, Sci-Fi, Thriller|PG-13|2005|119 min|DVD|No|7.9
Seven Pounds|&nbsp;|Will Smith, Rosario Dawson, Woody Harrelson, Michael Ealy|Drama, Romance|PG-13|2008|123 min|DVD|No|7.6
Sex and the City|&nbsp;|Sarah Jessica Parker, Kim Cattrall, Kristin Davis, Cynthia Nixon|Comedy, Drama, Romance|R|2008|145 min|DVD|No|5.6
Shallow Grave|&nbsp;|Kerry Fox, Christopher Eccleston, Ewan McGregor, Ken Stott|Crime, Thriller|R|1994|89 min|DVD|No|7.3
Shaun of the Dead|&nbsp;|Simon Pegg, Kate Ashfield, Nick Frost, Lucy Davis|Comedy, Horror|R|2004|99 min|DVD|No|7.9
Shawshank Redemption, The|&nbsp;|Tim Robbins, Morgan Freeman, Bob Gunton, William Sadler|Drama|R|1994|142 min|DVD|No|9.3
Sherlock Holmes|&nbsp;|Robert Downey Jr., Jude Law, Rachel McAdams, Mark Strong|Action, Adventure, Crime, Mystery, Thriller|PG-13|2009|128 min|Bluray|No|7.6
Sherlock Jr.|&nbsp;|Buster Keaton, Kathryn McGuire, Joe Keaton, Erwin Connelly|Action, Comedy, Romance|NOT RATED|1924|45 min|DVD|Yes|8.2
Shooter|&nbsp;|Mark Wahlberg, Michael Peña, Danny Glover, Kate Mara|Action, Crime, Drama, Mystery, Thriller|R|2007|124 min|DVD|No|7.2
Signs|&nbsp;|Mel Gibson, Joaquin Phoenix, Rory Culkin, Abigail Breslin|Drama, Mystery, Sci-Fi, Thriller|PG-13|2002|106 min|Bluray|No|6.7
Silence of the Lambs, The|&nbsp;|Jodie Foster, Lawrence A. Bonney, Kasi Lemmons, Lawrence T. Wrentz|Crime, Drama, Thriller|R|1991|118 min|DVD|No|8.6
Sin City|&nbsp;|Jessica Alba, Devon Aoki, Alexis Bledel, Powers Boothe|Crime, Thriller|R|2005|124 min|DVD|No|8.0
Sixth Sense, The|&nbsp;|Bruce Willis, Haley Joel Osment, Toni Collette, Olivia Williams|Drama, Mystery, Thriller|PG-13|1999|107 min|Bluray|No|8.1
Sky Captain and the World of Tomorrow||Gwyneth Paltrow, Jude Law, Giovanni Ribisi, Michael Gambon|Action, Adventure, Mystery, Sci-Fi, Thriller|PG|2004|106 min|DVD|Yes|6.1
Skyfall|&nbsp;|Daniel Craig, Judi Dench, Javier Bardem, Ralph Fiennes|Action, Adventure, Thriller|PG-13|2012|143 min|Bluray|No|7.8
Sleepy Hollow|&nbsp;|Johnny Depp, Christina Ricci, Miranda Richardson, Michael Gambon|Fantasy, Horror, Mystery|R|1999|105 min|DVD|No|7.4
Snatch|&nbsp;|Benicio Del Toro, Dennis Farina, Vinnie Jones, Brad Pitt|Comedy, Crime|R|2000|102 min|DVD|No|8.3
Snow Dogs|&nbsp;|Cuba Gooding Jr., James Coburn, Sisqó, Nichelle Nichols|Adventure, Comedy, Family, Sport|PG|2002|99 min|DVD|No|5.1
Sons of Anarchy|1|Charlie Hunnam, Katey Sagal, Mark Boone Junior, Kim Coates|Crime, Drama, Thriller|TV-MA|2008–2014|45 min|DVD|Yes|8.6
Sons of Anarchy|2|Charlie Hunnam, Katey Sagal, Mark Boone Junior, Kim Coates|Crime, Drama, Thriller|TV-MA|2008–2014|45 min|DVD|Yes|8.6
Sons of Anarchy|3|Charlie Hunnam, Katey Sagal, Mark Boone Junior, Kim Coates|Crime, Drama, Thriller|TV-MA|2008–2014|45 min|DVD|Yes|8.6
Sons of Anarchy|4|Charlie Hunnam, Katey Sagal, Mark Boone Junior, Kim Coates|Crime, Drama, Thriller|TV-MA|2008–2014|45 min|DVD|Yes|8.6
Sons of Anarchy|5|Charlie Hunnam, Katey Sagal, Mark Boone Junior, Kim Coates|Crime, Drama, Thriller|TV-MA|2008–2014|45 min|DVD|Yes|8.6
Sons of Anarchy|6|Charlie Hunnam, Katey Sagal, Mark Boone Junior, Kim Coates|Crime, Drama, Thriller|TV-MA|2008–2014|45 min|DVD|Yes|8.6
Sons of Anarchy|7|Charlie Hunnam, Katey Sagal, Mark Boone Junior, Kim Coates|Crime, Drama, Thriller|TV-MA|2008–2014|45 min|DVD|Yes|8.6
Space Cowboys|&nbsp;|Clint Eastwood, Tommy Lee Jones, Donald Sutherland, James Garner|Action, Adventure, Thriller|PG-13|2000|130 min|Bluray|Yes|6.4
Spectre|&nbsp;|Daniel Craig, Christoph Waltz, Léa Seydoux, Ralph Fiennes|Action, Adventure, Thriller|PG-13|2015|148 min|Bluray|No|6.8
Split|&nbsp;|James McAvoy, Anya Taylor-Joy, Betty Buckley, Haley Lu Richardson|Horror, Thriller|PG-13|2016|117 min|Bluray|No|7.3
Star Wars: The Force Awakens|&nbsp;|Harrison Ford, Mark Hamill, Carrie Fisher, Adam Driver|Action, Adventure, Fantasy, Sci-Fi|PG-13|2015|136 min|DVD|No|8.0
Starship Troopers|&nbsp;|Casper Van Dien, Dina Meyer, Denise Richards, Jake Busey|Action, Adventure, Sci-Fi, Thriller|R|1997|129 min|DVD|No|7.2
Starsky & Hutch|&nbsp;|Ben Stiller, Owen Wilson, Snoop Dogg, Fred Williamson|Comedy, Crime|PG-13|2004|101 min|DVD|No|6.1
Stigmata|&nbsp;|Patricia Arquette, Gabriel Byrne, Jonathan Pryce, Nia Long|Horror|R|1999|103 min|DVD|No|6.2
Sudden Impact|&nbsp;|Clint Eastwood, Sondra Locke, Pat Hingle, Bradford Dillman|Action, Crime, Thriller|R|1983|117 min|DVD|Yes|6.6
Suicide Squad|&nbsp;|Will Smith, Jaime FitzSimons, Ike Barinholtz, Margot Robbie|Action, Adventure, Fantasy, Sci-Fi|PG-13|2016|123 min|Bluray|No|6.1
Super Size Me|&nbsp;|Chemeeka Walker, Dania Abu-Rmaileh, Amanda Kearsan, Christian Baucher|Documentary, Comedy, Drama|PG|2004|100 min|DVD|No|7.2
Swordfish|&nbsp;|John Travolta, Hugh Jackman, Halle Berry, Don Cheadle|Action, Crime, Thriller|R|2001|99 min|DVD|No|6.5
Taking of Pelham 123, The|&nbsp;|Denzel Washington, John Travolta, Luis Guzmán, Victor Gojcaj|Action, Crime, Thriller|R|2009|106 min|Bluray|No|6.4
Tank Girl|&nbsp;|Lori Petty, Ice-T, Naomi Watts, Don Harvey|Action, Comedy, Sci-Fi|R|1995|104 min|DVD|No|5.3
Taxi Driver|&nbsp;|Diahnne Abbott, Frank Adu, Victor Argo, Gino Ardito|Crime, Drama|R|1976|114 min|DVD|No|8.3
Tenacious D in The Pick of Destiny|&nbsp;|Jack Black, Kyle Gass, JR Reed, Ronnie James Dio|Adventure, Comedy, Musical|R|2006|93 min|DVD|No|6.8
Terminator 2: Judgment Day|&nbsp;|Arnold Schwarzenegger, Linda Hamilton, Edward Furlong, Robert Patrick|Action, Sci-Fi|R|1991|137 min|DVD|Yes|8.5
Terminator 3: Rise of the Machines|&nbsp;|Arnold Schwarzenegger, Nick Stahl, Claire Danes, Kristanna Loken|Action, Sci-Fi|R|2003|109 min|DVD|Yes|6.3
Terminator Genisys|&nbsp;|Arnold Schwarzenegger, Jason Clarke, Emilia Clarke, Jai Courtney|Action, Adventure, Sci-Fi|PG-13|2015|126 min|DVD|No|6.4
Terminator Salvation|&nbsp;|Christian Bale, Sam Worthington, Moon Bloodgood, Helena Bonham Carter|Action, Adventure, Sci-Fi|PG-13|2009|115 min|DVD|Yes|6.6
Terminator, The|&nbsp;|Arnold Schwarzenegger, Michael Biehn, Linda Hamilton, Paul Winfield|Action, Sci-Fi|R|1984|107 min|DVD|Yes|8.0
The Hurt Locker||Jeremy Renner, Anthony Mackie, Brian Geraghty, Guy Pearce|Drama, Thriller, War|R|2008|131 min|Bluray|No|7.6
This Is It||Michael Jackson, Alex Al, Alexandra Apjarova, Nick Bass|Documentary, Music|PG|2009|111 min|Bluray|No|7.3
Thomas Crown Affair, The|&nbsp;|Pierce Brosnan, Rene Russo, Denis Leary, Ben Gazzara|Crime, Romance, Thriller|R|1999|113 min|DVD|No|6.8
Three Kings|&nbsp;|George Clooney, Mark Wahlberg, Ice Cube, Spike Jonze|Action, Adventure, Comedy, Drama, War|R|1999|114 min|DVD|No|7.1
Throw Momma from the Train|&nbsp;|Danny DeVito, Billy Crystal, Kim Greist, Anne Ramsey|Comedy, Crime, Thriller|PG-13|1987|88 min|DVD|No|6.2
Thunderball|&nbsp;|Sean Connery, Claudine Auger, Adolfo Celi, Luciana Paluzzi|Action, Adventure, Thriller|PG|1965|130 min|Bluray|Yes|7.0
Time Bandits|&nbsp;|John Cleese, Sean Connery, Shelley Duvall, Katherine Helmond|Adventure, Comedy, Fantasy, Sci-Fi|PG|1981|110 min|DVD|No|7.0
Titanic|&nbsp;|Leonardo DiCaprio, Kate Winslet, Billy Zane, Kathy Bates|Drama, Romance|PG-13|1997|194 min|DVD|No|7.8
To Kill a Mockingbird|&nbsp;|Gregory Peck, John Megna, Frank Overton, Rosemary Murphy|Crime, Drama|NOT RATED|1962|129 min|DVD|No|8.3
Tomb Raider|&nbsp;|Alicia Vikander, Dominic West, Walton Goggins, Daniel Wu|Action, Adventure, Fantasy, Thriller|PG-13|2018|119 min|DVD|No|6.3
Top Gun|&nbsp;|Tom Cruise, Kelly McGillis, Val Kilmer, Anthony Edwards|Action, Drama|PG|1986|110 min|DVD|No|6.9
Tourist, The||Johnny Depp, Angelina Jolie, Paul Bettany, Timothy Dalton|Action, Adventure, Thriller|PG-13|2010|103 min|Bluray|No|6.0
Trail of the Pink Panther|&nbsp;|Peter Sellers, David Niven, Herbert Lom, Richard Mulligan|Comedy, Crime, Mystery|PG|1982|96 min|DVD|Yes|4.9
Training Day|&nbsp;|Denzel Washington, Ethan Hawke, Scott Glenn, Tom Berenger|Crime, Drama, Thriller|R|2001|122 min|DVD|No|7.7
Transcendence||Johnny Depp, Rebecca Hall, Paul Bettany, Cillian Murphy|Action, Drama, Sci-Fi, Thriller|PG-13|2014|119 min|DVD|No|6.3
Transformers|&nbsp;|Shia LaBeouf, Megan Fox, Josh Duhamel, Tyrese Gibson|Action, Adventure, Sci-Fi|PG-13|2007|144 min|DVD|No|7.1
Transformers: Revenge of the Fallen|&nbsp;|Shia LaBeouf, Megan Fox, Josh Duhamel, Tyrese Gibson|Action, Adventure, Sci-Fi|PG-13|2009|150 min|DVD|No|6.0
Trouble with the Curve|&nbsp;|Clint Eastwood, Chelcie Ross, Raymond Anthony Thomas, Ed Lauter|Drama, Sport|PG-13|2012|111 min|Bluray|Yes|6.8
Troy|&nbsp;|Julian Glover, Brian Cox, Nathan Jones, Adoni Maropis|Drama, History, Romance|R|2004|163 min|DVD|No|7.2
True Blood|1|Anna Paquin, Stephen Moyer, Sam Trammell, Ryan Kwanten|Drama, Fantasy, Mystery, Romance, Thriller|TV-MA|2008–2014|55 min|DVD|Yes|7.9
True Blood|2|Anna Paquin, Stephen Moyer, Sam Trammell, Ryan Kwanten|Drama, Fantasy, Mystery, Romance, Thriller|TV-MA|2008–2014|55 min|DVD|Yes|7.9
True Blood|3|Anna Paquin, Stephen Moyer, Sam Trammell, Ryan Kwanten|Drama, Fantasy, Mystery, Romance, Thriller|TV-MA|2008–2014|55 min|DVD|Yes|7.9
True Blood|4|Anna Paquin, Stephen Moyer, Sam Trammell, Ryan Kwanten|Drama, Fantasy, Mystery, Romance, Thriller|TV-MA|2008–2014|55 min|DVD|Yes|7.9
True Blood|5|Anna Paquin, Stephen Moyer, Sam Trammell, Ryan Kwanten|Drama, Fantasy, Mystery, Romance, Thriller|TV-MA|2008–2014|55 min|DVD|Yes|7.9
True Grit|&nbsp;|John Wayne, Glen Campbell, Kim Darby, Jeremy Slate|Adventure, Drama, Western|G|1969|128 min|DVD|No|7.4
True Romance||Christian Slater, Patricia Arquette, Dennis Hopper, Val Kilmer|Crime, Drama, Romance, Thriller|R|1993|119 min|DVD|No|7.9
Tsotsi|&nbsp;|Presley Chweneyagae, Terry Pheto, Kenneth Nkosi, Mothusi Magano|Crime, Drama|R|2005|94 min|DVD|No|7.3
Twelve Monkeys|&nbsp;|Joseph Melito, Bruce Willis, Jon Seda, Michael Chance|Mystery, Sci-Fi, Thriller|R|1995|129 min|DVD|No|8.0
U-571|&nbsp;|Matthew McConaughey, Bill Paxton, Harvey Keitel, Jon Bon Jovi|Action, War|PG-13|2000|116 min|DVD|No|6.6
Ultraviolet|&nbsp;|Milla Jovovich, Cameron Bright, Nick Chinlund, Sebastien Andrieu|Action, Sci-Fi, Thriller|PG-13|2006|88 min|DVD|No|4.4
Unbreakable|&nbsp;|Bruce Willis, Samuel L. Jackson, Robin Wright, Spencer Treat Clark|Drama, Mystery, Sci-Fi, Thriller|PG-13|2000|106 min|Bluray|No|7.3
Unforgiven|&nbsp;|Clint Eastwood, Gene Hackman, Morgan Freeman, Richard Harris|Drama, Western|R|1992|130 min|Bluray|Yes|8.2
