title|season|year|mins|format|score
Frankenweenie|&nbsp;|2012|87 min|DVD|6.9
French Connection II|&nbsp;|1975|119 min|DVD|6.8
French Connection, The|&nbsp;|1971|104 min|DVD|7.8
Frequency|&nbsp;|2000|118 min|DVD|7.4
From Hell|&nbsp;|2001|122 min|DVD|6.8
From Russia with Love|&nbsp;|1963|115 min|Blu-ray Disc|7.5
Full Metal Jacket|&nbsp;|1987|116 min|DVD|8.3
Full Monty, The|&nbsp;|1997|91 min|DVD|7.2
Fury|&nbsp;|2014|134 min|Blu-ray Disc|7.6
Futurama|1|1999–2013|22 min|DVD|8.4
Futurama|2|1999–2013|22 min|DVD|8.4
Futurama|3|1999–2013|22 min|DVD|8.4
Futurama|4|1999–2013|22 min|DVD|8.4
Futurama|5|1999–2013|22 min|DVD|8.4
Futurama|6|1999–2013|22 min|DVD|8.4
Galaxy Quest|&nbsp;|1999|102 min|DVD|7.3
Gandhi|&nbsp;|1982|191 min|DVD|8.0
Gauntlet, The|&nbsp;|1977|109 min|Blu-ray Disc|6.4
General's Daughter, The|&nbsp;|1999|116 min|DVD|6.3
Get Carter|&nbsp;|1971|112 min|DVD|7.5
Ghost|&nbsp;|1990|127 min|DVD|7.0
Ghost Ship|&nbsp;|2002|91 min|DVD|5.5
Girl in the Spider's Web, The|&nbsp;|2018|115 min|DVD|6.1
Girl on the Train, The|&nbsp;|2016|112 min|DVD|6.5
Girl Who Kicked the Hornet's Nest, The|&nbsp;|2009|147 min|Blu-ray Disc|7.3
Girl Who Played with Fire, The|&nbsp;|2009|129 min|Blu-ray Disc|7.2
Girl with the Dragon Tattoo, The|&nbsp;|2009|152 min|Blu-ray Disc|7.8
Gladiator|&nbsp;|2000|155 min|DVD|8.5
Glass|&nbsp;|2019|129 min|Blu-ray Disc (4K UHD)|6.8
Gods of Egypt|&nbsp;|2016|127 min|DVD|5.4
Golden Child, The|&nbsp;|1986|94 min|DVD|6.0
Golden Compass, The|&nbsp;|2007|113 min|DVD|6.1
GoldenEye|&nbsp;|1995|130 min|DVD|7.2
Gone Girl|&nbsp;|2014|149 min|DVD|8.1
Gone in Sixty Seconds|&nbsp;|2000|118 min|DVD|6.5
Good Morning, Vietnam|&nbsp;|1987|121 min|DVD|7.3
Good Will Hunting|&nbsp;|1997|126 min|DVD|8.3
Good, the Bad and the Ugly, The|&nbsp;|1966|178 min|DVD|8.9
Goodfellas|&nbsp;|1990|146 min|DVD|8.7
Goonies, The|&nbsp;|1985|114 min|Blu-ray Disc|7.8
Gorillas in the Mist|&nbsp;|1988|129 min|DVD|7.0
Gothika|&nbsp;|2003|98 min|DVD|5.8
Gran Torino|&nbsp;|2008|116 min|Blu-ray Disc|8.1
Grease|&nbsp;|1978|110 min|DVD|7.2
Grease 2|&nbsp;|1982|115 min|DVD|4.3
Great Escape, The|&nbsp;|1963|172 min|DVD|8.2
Great Rock 'n' Roll Swindle, The|&nbsp;|1980|103 min|DVD|6.5
Greatest Showman, The|&nbsp;|2017|105 min|DVD|7.6
Green Mile, The|&nbsp;|1999|189 min|DVD|8.5
Green Zone|&nbsp;|2010|115 min|DVD|6.8
Gremlins|&nbsp;|1984|106 min|DVD|7.3
Guardian, The|&nbsp;|2006|139 min|DVD|6.9
Guns of Navarone, The|&nbsp;|1961|158 min|DVD|7.6
Guys and Dolls|&nbsp;|1955|150 min|DVD|7.2
Hairspray|&nbsp;|2007|117 min|DVD|6.7
Hamburger Hill|&nbsp;|1987|110 min|DVD|6.7
Hanna|&nbsp;|2011|111 min|DVD|6.8
Hannibal|&nbsp;|2001|131 min|DVD|6.8
Hannibal|1|2013–2015|44 min|DVD|8.5
Hannibal|2|2013–2015|44 min|DVD|8.5
Hannibal|3|2013–2015|44 min|DVD|8.5
Hard Rain|&nbsp;|1998|97 min|DVD|5.9
Harley Davidson and the Marlboro Man|&nbsp;|1991|98 min|DVD|6.1
Harry Brown|&nbsp;|2009|103 min|DVD|7.2
Harry Potter and the Chamber of Secrets|&nbsp;|2002|161 min|DVD|7.4
Harry Potter and the Deathly Hallows: Part 1|&nbsp;|2010|146 min|Blu-ray Disc|7.7
Harry Potter and the Deathly Hallows: Part 2|&nbsp;|2011|130 min|Blu-ray Disc|8.1
Harry Potter and the Goblet of Fire|&nbsp;|2005|157 min|DVD|7.7
Harry Potter and the Half-Blood Prince|&nbsp;|2009|153 min|Blu-ray Disc|7.6
Harry Potter and the Order of the Phoenix|&nbsp;|2007|138 min|DVD|7.5
Harry Potter and the Prisoner of Azkaban|&nbsp;|2004|142 min|DVD|7.9
Harry Potter and the Sorcerer's Stone|&nbsp;|2001|152 min|DVD|7.6
Heartbreak Ridge|&nbsp;|1986|130 min|Blu-ray Disc|6.8
Heat|&nbsp;|1995|170 min|DVD|8.2
Hello, Dolly!|&nbsp;|1969|146 min|DVD|7.2
Hereafter|&nbsp;|2010|129 min|Blu-ray Disc|6.5
High Plains Drifter|&nbsp;|1973|105 min|DVD|7.6
Highlander|&nbsp;|1986|116 min|DVD|7.2
Hill, The|&nbsp;|1965|123 min|DVD|7.9
Hitler: The Rise of Evil|1|2003|130 min|DVD|7.3
Hobbit: An Unexpected Journey|&nbsp;|2012|169 min|Blu-ray Disc|7.9
Homeland|1|2011–|55 min|DVD|8.3
Homeland|2|2011–|55 min|DVD|8.3
Homeland|3|2011–|55 min|DVD|8.3
Homeward Bound II: Lost in San Francisco|&nbsp;|1996|88 min|DVD|5.9
Hong Kong Phooey|1|1974–1975|22 min|DVD|7.0
Hook|&nbsp;|1991|142 min|DVD|6.7
House at the End of the Street|&nbsp;|2012|101 min|Blu-ray Disc|5.6
House of Flying Daggers|&nbsp;|2004|119 min|DVD|7.6
House on Haunted Hill|&nbsp;|1999|93 min|DVD|5.6
How the Grinch Stole Christmas|&nbsp;|2000|104 min|DVD|6.1
Hunger Games, The|&nbsp;|2012|142 min|DVD|7.2
Hurricane, The|&nbsp;|1999|146 min|DVD|7.6
Hurt Locker, The|&nbsp;|2008|131 min|Blu-ray Disc|7.6
I, Robot|&nbsp;|2004|115 min|DVD|7.1
I.D.|&nbsp;|1995|107 min|DVD|7.4
Imaginarium of Doctor Parnassus, The|&nbsp;|2009|123 min|DVD|6.8
Imitation Game, The|&nbsp;|2014|114 min|DVD|8.0
In the Line of Fire|&nbsp;|1993|128 min|DVD|7.2
In the Valley of Elah|&nbsp;|2007|121 min|DVD|7.2
Inception|&nbsp;|2010|148 min|DVD|8.8
Independence Day|&nbsp;|1996|145 min|DVD|7.0
Indiana Jones and the Kingdom of the Crystal Skull|&nbsp;|2008|122 min|DVD|6.1
Indiana Jones and the Last Crusade|&nbsp;|1989|127 min|DVD|8.2
Indiana Jones and the Temple of Doom|&nbsp;|1984|118 min|DVD|7.6
Inglourious Basterds|&nbsp;|2009|153 min|DVD|8.3
Invictus|&nbsp;|2009|134 min|Blu-ray Disc|7.3
It Ain't Half Hot Mum|1|1974–1981|30 min|DVD|7.1
It Ain't Half Hot Mum|2|1974–1981|30 min|DVD|7.1
It Ain't Half Hot Mum|3|1974–1981|30 min|DVD|7.1
It Ain't Half Hot Mum|4|1974–1981|30 min|DVD|7.1
It Ain't Half Hot Mum|5|1974–1981|30 min|DVD|7.1
It Ain't Half Hot Mum|6|1974–1981|30 min|DVD|7.1
It Ain't Half Hot Mum|7|1974–1981|30 min|DVD|7.1
It Ain't Half Hot Mum|8|1974–1981|30 min|DVD|7.1
Italian Job, The|&nbsp;|1969|99 min|DVD|7.3
J. Edgar|&nbsp;|2011|137 min|Blu-ray Disc|6.6
Jack and the Beanstalk|&nbsp;|1952|70 min|DVD|6.1
Jack Reacher|&nbsp;|2012|130 min|DVD|7.0
Jaws|&nbsp;|1975|124 min|DVD|8.0
Jazz Singer, The|&nbsp;|1980|115 min|DVD|5.8
JFK|&nbsp;|1991|189 min|DVD|8.0
John Carter|&nbsp;|2012|132 min|DVD|6.6
